Zona,Movimento 5 Stelle,Il Popolo della Famiglia,Per una Sinistra Rivoluzionaria,Partito Comunista,Civica Popolare,Partito Democratico,Italia Europa Insieme,Piu Europa,Unione di Centro,Forza Italia,Lega Nord,Fratelli d Italia,Italia agli Italiani,Partito Repubblicano Italiano - Alleanza Liberalpopolare - Autonomie,Potere al Popolo,Liberi e Uguali,CasaPound,Totale Voti Validi
17,159,8,0,3,2,184,5,23,4,47,87,25,3,1,13,55,5,624
17,137,0,0,5,7,143,6,25,1,41,91,12,5,3,9,41,4,530
17,127,2,0,4,1,149,11,18,1,30,62,17,2,0,4,37,3,468
17,200,3,1,8,6,169,5,23,2,44,88,15,1,0,10,50,4,629
17,123,3,2,11,2,126,3,19,1,34,70,17,4,0,9,25,2,451
17,129,1,2,5,4,173,6,25,0,50,62,9,5,0,11,44,1,527
1,85,7,1,1,3,137,3,34,5,41,60,24,0,1,10,38,1,451
1,138,1,0,2,1,207,2,23,0,46,88,19,2,0,5,44,3,581
1,180,6,0,4,5,221,2,46,3,62,108,22,5,4,6,44,5,723
1,129,1,2,9,4,178,4,25,7,39,80,16,1,1,24,37,2,559
1,94,2,0,8,3,184,4,23,1,39,59,21,1,2,20,57,2,520
1,113,3,1,3,4,94,11,21,0,36,53,11,1,0,7,28,2,388
1,84,3,0,5,3,157,7,28,1,42,78,20,1,1,18,27,3,478
1,151,4,1,2,1,167,6,25,1,45,79,18,2,2,11,34,3,552
1,149,2,3,9,1,141,6,23,1,41,57,16,4,0,9,44,2,508
1,116,4,2,9,2,225,11,28,3,36,67,12,2,0,8,70,3,598
1,97,8,1,4,8,229,10,19,5,47,67,17,0,0,8,45,2,567
1,95,2,0,4,1,143,2,15,1,28,69,5,0,0,5,24,1,395
1,128,3,0,8,0,203,6,21,3,38,69,24,2,1,7,44,3,560
1,101,3,1,3,4,178,5,9,1,36,57,13,0,2,9,39,1,462
1,123,2,1,2,4,165,10,8,2,35,67,14,0,1,8,34,2,478
1,102,0,1,1,4,170,5,25,3,38,63,12,2,0,5,36,4,471
1,113,2,2,3,0,126,7,10,0,30,62,7,1,0,9,15,1,388
1,74,1,1,2,2,139,2,12,1,23,61,10,5,0,9,31,1,374
1,110,2,0,4,0,134,6,5,1,31,60,4,1,0,6,28,0,392
1,80,2,2,4,3,178,7,22,2,43,60,15,0,0,5,57,3,483
1,149,4,0,4,6,171,10,15,1,39,97,14,4,1,3,30,5,553
1,121,4,0,5,0,92,1,5,1,22,54,7,2,0,7,19,0,340
1,155,4,2,6,3,161,5,13,1,27,52,6,2,1,10,39,1,488
3,160,3,0,3,1,144,1,14,1,43,83,10,5,1,4,45,0,518
3,135,5,0,3,2,185,4,22,5,53,78,22,0,2,2,33,4,555
3,103,1,1,3,0,188,7,14,3,33,48,13,2,1,2,30,2,451
3,98,3,1,9,0,192,4,9,1,27,72,13,0,0,3,37,2,471
3,226,0,1,8,0,261,6,29,0,46,84,14,1,1,16,63,6,762
3,118,3,4,2,7,173,6,21,47,15,61,1,5,1,6,24,4,498
3,121,3,3,4,5,159,3,17,1,32,59,8,3,0,5,30,4,457
3,216,6,1,4,1,175,8,27,4,44,96,13,4,0,9,49,1,658
3,115,4,1,4,3,178,6,16,4,38,70,14,2,0,14,27,2,498
3,130,2,0,5,2,160,5,19,4,39,84,21,0,0,7,39,2,519
3,124,0,2,7,2,131,3,16,1,30,60,7,1,0,8,23,4,419
3,153,0,1,5,3,158,5,7,2,32,78,16,1,1,7,25,4,498
3,179,0,1,5,3,154,5,19,1,34,77,11,1,0,7,28,2,527
3,122,2,0,9,2,166,1,16,0,50,57,10,1,0,8,33,4,481
3,172,2,1,2,6,146,3,17,3,58,110,25,0,0,7,33,4,589
3,122,0,4,5,0,155,7,14,1,23,73,17,0,0,5,31,3,460
3,127,2,2,11,2,189,6,19,2,31,77,7,1,1,3,19,2,501
3,114,5,1,3,1,167,5,19,2,32,80,14,0,0,0,30,3,476
3,95,3,2,5,3,217,10,20,3,35,42,11,1,1,7,26,0,481
3,90,2,1,1,0,209,6,14,0,23,75,14,0,0,5,32,2,474
3,97,2,0,2,3,189,7,13,6,29,49,10,2,0,2,43,1,455
3,107,4,2,3,1,201,4,22,1,23,54,7,1,1,11,54,2,498
3,151,1,2,9,1,159,4,17,0,42,68,10,2,2,4,26,1,499
3,178,1,0,1,3,108,2,11,1,52,91,19,1,0,12,32,9,521
3,140,1,3,3,1,142,4,21,1,41,93,15,1,0,13,21,2,502
3,114,12,2,8,2,167,2,18,4,54,71,31,1,2,7,43,5,543
3,135,1,0,5,5,176,7,15,5,52,85,14,2,0,10,42,1,555
9,169,0,4,3,3,174,17,23,1,32,83,25,0,2,14,47,1,598
9,166,2,1,6,3,145,8,28,3,48,70,9,1,0,11,49,3,553
9,104,5,1,6,3,153,11,17,3,36,52,15,0,0,6,24,3,439
9,111,0,1,11,3,118,2,21,1,35,69,10,2,0,8,28,0,420
9,107,0,0,6,3,182,4,28,0,28,60,5,2,0,12,52,0,489
9,76,1,0,2,2,148,13,19,3,50,60,13,1,4,7,35,1,435
9,140,2,2,2,4,133,3,21,3,33,65,11,1,1,17,33,2,473
9,138,2,0,4,2,123,3,7,4,22,63,11,2,1,5,31,1,419
9,88,0,1,3,3,150,2,14,0,34,41,14,3,0,9,44,1,407
9,91,4,2,3,2,162,5,21,0,35,67,12,2,1,10,22,2,441
9,114,3,0,6,3,103,6,19,3,33,77,7,2,0,11,40,4,431
9,153,4,1,5,2,101,1,4,2,33,49,14,1,0,8,29,3,410
9,149,2,1,3,5,157,4,24,1,41,68,12,0,0,6,37,1,511
9,139,0,1,6,2,125,3,15,0,32,80,15,2,0,8,29,10,467
9,139,2,1,3,3,155,11,23,0,39,79,11,4,0,3,38,4,515
9,164,1,0,3,3,154,2,29,1,42,81,10,2,0,15,39,5,551
14,20,1,0,2,2,30,0,4,0,13,14,0,0,0,3,6,0,95
14,14,0,0,0,1,23,1,3,0,8,14,3,0,0,2,8,0,77
