Zona,Movimento 5 Stelle,Il Popolo della Famiglia,Per una Sinistra Rivoluzionaria,Partito Comunista,Civica Popolare,Partito Democratico,Italia Europa Insieme,Piu Europa,Unione di Centro,Forza Italia,Lega Nord,Fratelli d Italia,Italia agli Italiani,Partito Repubblicano Italiano - Alleanza Liberalpopolare - Autonomie,Potere al Popolo,Liberi e Uguali,CasaPound,Totale Voti Validi
6,0,0,0,0,4,156,14,45,1,24,48,15,0,0,0,0,0,307
6,74,3,2,2,4,160,9,66,1,59,69,27,2,0,22,44,7,551
6,50,0,0,2,0,137,7,53,10,84,61,33,0,0,8,34,2,481
6,49,4,1,0,10,104,12,49,2,104,94,44,1,4,7,25,11,521
6,89,4,2,1,1,138,6,49,1,47,62,19,2,1,35,51,2,510
6,75,4,3,1,4,136,14,49,6,83,79,18,3,1,17,53,3,549
6,71,4,1,0,10,178,6,52,7,55,75,17,2,0,14,48,3,543
6,77,1,1,3,4,126,15,64,3,103,81,28,0,3,12,39,3,563
6,74,4,0,2,0,122,8,34,1,61,74,27,3,0,26,32,1,469
6,79,2,5,2,3,128,6,39,5,54,78,21,0,1,22,49,2,496
6,78,1,3,3,4,127,15,39,2,41,47,22,1,1,18,45,0,447
6,71,2,1,1,1,137,14,31,5,89,66,21,0,2,25,42,1,509
6,102,1,2,4,7,80,9,40,1,35,45,24,0,0,11,41,3,405
6,119,4,0,2,0,127,6,47,3,29,67,11,1,3,19,53,3,494
6,99,3,1,2,4,158,6,52,4,47,54,22,2,0,19,55,3,531
6,116,4,0,6,8,154,6,39,2,40,59,12,3,0,18,26,4,497
6,106,1,0,4,4,136,0,42,1,44,58,10,2,1,21,40,3,473
6,94,0,1,2,4,133,4,28,1,33,68,13,2,0,13,40,1,437
6,108,2,1,2,3,153,3,33,2,37,65,25,1,1,27,48,1,512
6,63,2,2,4,3,135,10,48,3,43,61,28,1,0,17,45,5,470
6,90,3,0,3,0,134,11,43,2,52,71,17,2,0,8,43,3,482
6,86,2,0,2,2,122,4,21,1,50,67,18,0,0,25,44,4,448
6,93,1,1,4,2,127,5,56,1,30,63,18,1,0,23,45,2,472
6,66,1,1,0,5,137,4,43,1,62,90,23,0,4,6,23,4,470
6,118,0,0,4,3,137,6,42,2,51,75,23,0,1,16,42,5,525
6,107,0,1,4,1,101,1,36,2,32,63,16,4,2,17,36,6,429
6,81,2,1,1,6,177,7,51,7,64,81,19,5,2,11,41,0,556
6,64,2,0,0,9,101,5,42,6,76,88,31,0,3,5,25,3,460
14,127,2,1,4,8,109,7,28,4,42,69,14,0,0,11,43,4,473
14,93,0,1,4,1,116,5,26,4,44,62,12,1,0,18,43,3,433
14,102,7,1,4,2,128,7,47,3,32,49,10,1,0,20,45,2,460
14,144,3,3,1,3,154,5,42,2,52,69,20,3,0,20,56,2,579
14,116,0,1,3,1,124,11,32,2,35,40,16,4,0,25,42,2,454
14,114,0,1,0,3,108,7,30,0,28,50,20,0,0,22,49,4,436
14,86,0,0,2,3,140,7,22,5,43,58,12,1,0,13,38,4,434
14,120,4,1,4,0,115,11,19,2,30,46,14,0,0,12,33,2,413
14,91,2,1,2,1,156,9,33,4,49,73,35,1,0,11,77,2,547
14,119,1,1,1,0,123,3,31,3,44,61,16,2,1,14,37,3,460
14,113,1,2,5,3,156,11,27,0,30,67,9,2,0,10,49,2,487
14,77,1,0,3,2,155,3,25,4,31,57,20,0,1,8,41,1,429
14,104,2,1,2,7,143,9,28,1,43,54,13,2,0,8,51,5,473
14,69,3,1,2,5,82,2,16,0,21,66,5,4,1,12,28,1,318
14,136,6,2,1,1,124,9,44,3,41,60,9,4,0,28,27,3,498
14,110,2,2,1,0,107,3,17,1,53,66,21,6,0,9,29,0,427
14,83,1,0,2,8,108,5,28,4,48,63,18,2,1,8,45,4,428
14,111,0,1,0,2,71,2,16,1,32,81,32,1,0,3,26,10,389
14,155,1,2,3,1,153,4,29,3,28,57,14,1,0,15,41,3,510
14,105,3,0,4,2,108,5,24,2,24,46,10,0,0,14,47,2,396
14,86,0,2,2,2,113,8,24,4,30,59,17,3,0,13,28,3,394
17,188,0,0,3,1,168,5,32,1,45,78,17,3,0,13,50,2,606
17,196,3,2,5,3,183,10,27,6,59,77,19,0,1,20,57,6,674
17,184,5,1,1,8,218,5,34,2,38,97,20,2,0,16,56,7,694
17,157,4,2,5,1,154,4,34,0,32,67,14,1,0,12,39,5,531
17,105,3,3,4,2,198,8,26,2,56,73,25,0,2,10,48,3,568
17,136,2,0,3,1,145,6,23,0,35,100,11,2,0,10,33,4,511
