Sezione elettorale,Destre Unite - Forconi,Il Popolo della Famiglia,Partito Repubblicano Italiano - Alleanza Liberalpopolare - Autonomie,Potere al Popolo,Civica Popolare Lorenzin,Italia Europa Insieme,+ Europa,Partito Democratico,Sinistra Rivoluzionaria,Partito Comunista,CasaPound,Liberi e Uguali,Italia agli Italiani,Movimento 5 Stelle,Forza Italia,Unione di Centro,Lega Nord,Fratelli d'Italia,Totale Votanti,Totale Voti Non Validi
373,1,2,1,8,4,5,26,97,2,3,1,36,2,92,28,0,57,25,433,22
374,0,6,1,8,4,6,16,103,3,5,1,46,0,149,40,0,78,15,540,12
375,1,3,0,16,3,1,19,97,2,9,1,32,2,118,48,2,61,14,466,11
376,0,2,0,8,6,3,9,91,0,4,2,36,2,106,23,1,58,20,403,11
377,1,1,0,14,2,6,15,126,2,5,1,34,1,119,30,1,64,9,474,14
378,0,5,0,14,3,8,14,107,3,3,3,31,3,79,29,5,52,16,431,8
379,1,2,1,4,3,5,13,157,1,5,2,43,1,92,28,1,54,13,459,11
380,0,4,1,6,4,1,17,111,2,5,1,31,1,97,34,2,49,7,403,8
381,2,2,0,5,1,3,6,84,0,2,3,14,3,85,32,0,73,8,344,7
382,1,3,0,9,3,1,12,127,0,9,4,33,1,107,26,1,71,20,459,9
383,0,3,0,5,2,1,18,112,1,6,2,35,2,93,28,2,44,11,393,10
384,1,1,0,14,7,7,29,229,0,4,1,57,1,105,41,5,70,11,631,16
385,1,3,3,4,1,6,19,163,0,0,0,39,0,74,36,6,48,15,447,10
386,1,8,1,10,2,5,14,143,1,2,3,45,1,114,35,1,57,16,489,10
387,2,2,1,6,2,13,25,163,1,0,3,30,0,85,33,2,44,25,458,11
388,0,1,1,19,2,8,14,131,1,1,1,34,4,100,32,0,51,15,443,8
389,0,3,2,7,3,3,10,135,0,4,1,38,1,75,35,0,67,16,425,11
390,0,2,1,4,2,1,15,129,2,3,2,40,1,121,30,6,47,14,455,12
391,0,3,0,11,1,5,15,138,2,5,2,40,0,105,41,0,50,17,463,14
392,0,3,0,7,1,3,17,119,2,2,1,30,2,82,39,1,46,12,387,7
393,0,3,1,2,1,1,10,112,0,10,0,30,2,108,35,0,66,8,419,8
394,0,2,3,9,7,7,20,175,1,3,1,44,0,73,47,2,76,21,516,9
395,0,0,0,8,0,6,20,149,3,5,3,41,1,108,29,2,58,6,459,7
396,1,4,1,9,5,5,18,146,1,1,0,47,0,102,32,0,71,11,485,12
397,2,3,1,9,1,0,11,124,1,2,0,36,2,107,26,2,55,13,435,21
398,0,1,0,8,2,6,16,132,0,5,1,37,2,94,38,0,75,25,486,31
399,0,3,1,9,1,4,14,168,0,2,1,42,1,81,33,2,64,10,477,18
400,0,0,5,10,1,5,13,122,2,3,1,34,5,130,21,0,59,11,461,14
401,2,1,0,5,6,8,15,158,0,5,4,39,1,128,40,1,56,12,503,7
402,2,3,0,10,0,5,14,136,2,3,5,42,1,104,24,1,57,4,435,10
403,0,1,2,6,2,2,11,118,1,2,0,42,3,111,31,0,56,10,437,7
404,1,0,0,9,10,8,19,175,0,1,0,36,1,103,51,0,69,19,542,15
405,0,7,1,6,5,1,24,117,0,7,2,26,2,107,51,0,72,12,475,15
406,0,3,0,6,2,4,6,162,0,3,3,41,2,90,28,0,52,14,444,9
407,0,1,0,8,0,5,24,160,0,4,0,62,1,108,27,0,31,12,473,12
408,2,2,1,6,3,6,17,138,2,3,2,33,3,103,45,1,54,15,466,9
409,0,4,2,3,3,11,19,203,2,7,4,57,0,123,33,0,57,15,574,13
410,0,3,0,6,3,5,28,158,1,3,1,42,1,86,43,4,59,12,488,15
411,1,2,2,6,3,3,5,69,3,5,1,10,1,38,34,0,19,5,230,15
412,0,3,2,1,5,7,47,136,2,3,0,38,2,92,60,3,74,24,526,5
413,0,3,2,11,1,3,17,115,2,8,1,31,1,133,37,1,52,23,472,6
414,1,1,1,10,1,7,27,110,1,4,2,37,1,119,42,0,53,16,453,5
415,0,1,1,11,10,6,21,148,0,1,2,40,2,115,57,2,83,16,552,14
416,0,4,1,8,4,15,25,121,0,2,2,38,2,89,57,2,48,11,458,9
417,1,6,1,7,4,9,20,139,0,2,0,53,1,93,53,0,75,25,525,10
418,1,5,1,7,3,9,18,135,3,1,1,60,0,107,51,1,54,13,519,11
419,0,1,3,9,1,9,15,97,1,1,4,38,0,98,34,1,65,15,433,17
420,1,1,2,8,6,7,30,120,1,4,3,44,1,107,32,1,70,16,500,14
421,0,2,0,4,4,5,20,131,0,2,3,32,2,120,32,3,73,10,480,13
422,0,3,1,9,8,8,37,125,0,1,0,38,0,74,57,2,60,18,481,18
423,0,6,0,5,3,5,37,109,0,1,3,31,3,100,58,3,73,25,512,13
424,0,1,0,1,1,2,12,134,1,1,1,37,0,94,27,1,52,8,404,11
425,1,0,0,12,6,3,23,160,1,6,0,52,4,106,35,0,57,15,507,10
426,2,3,0,11,2,0,8,65,2,9,1,26,1,126,27,0,36,3,363,22
427,1,1,0,6,0,1,8,99,2,6,3,16,1,86,30,0,63,8,360,16
428,1,1,0,13,3,5,13,143,2,4,0,45,1,106,44,5,87,9,514,10
429,0,1,1,12,10,2,19,120,2,0,1,52,0,73,32,2,57,13,422,5
430,0,2,1,13,2,1,23,194,0,0,0,49,0,88,35,0,63,15,528,10
431,1,4,0,3,2,9,25,104,0,5,5,34,1,77,44,5,68,28,445,6
432,0,2,1,5,2,7,27,104,1,2,1,30,1,62,81,4,66,26,454,10
433,0,2,1,6,4,6,30,95,0,2,7,34,4,74,61,1,88,22,468,6
434,1,3,0,5,0,2,12,79,0,4,2,23,0,120,34,1,72,11,385,14
435,0,3,0,6,5,1,29,112,0,1,2,39,3,101,45,2,46,15,441,9
436,1,1,1,8,4,4,30,150,2,1,2,29,3,102,37,1,69,20,495,13
437,0,2,0,9,1,5,13,101,4,3,1,30,2,157,17,0,48,12,434,9
438,1,0,0,0,0,0,3,17,0,2,1,4,1,13,9,0,8,1,64,0
439,1,0,1,3,0,2,3,42,0,3,2,13,1,17,21,0,20,6,153,15
440,0,0,0,1,2,2,3,45,0,2,1,9,1,31,9,0,13,3,133,5
441,1,0,0,1,0,2,1,41,1,0,0,6,0,17,13,0,13,1,105,5
442,1,2,0,0,3,1,0,24,0,2,0,2,0,7,3,0,8,1,57,1
443,0,0,0,2,0,0,1,20,0,1,0,3,0,14,3,0,3,3,58,5
444,1,1,0,3,1,1,2,32,0,2,0,8,0,18,9,2,14,1,128,29
445,0,1,0,2,1,1,2,24,0,0,0,7,0,13,8,0,15,1,80,3
