Sezione elettorale,Movimento 5 Stelle,Il Popolo della Famiglia,Sinistra Rivoluzionaria,Partito Comunista,Civica Popolare Lorenzin,Partito Democratico,Italia Europa Insieme,+ Europa,Unione di Centro,Forza Italia,Lega Nord,Fratelli d'Italia,Italia agli Italiani,Partito Repubblicano Italiano - Alleanza Liberalpopolare - Autonomie,Potere al Popolo,Liberi e Uguali,CasaPound,Totale Votanti,Totale Voti Non Validi
51,65,2,0,1,1,141,13,47,5,83,75,25,1,3,10,28,7,539,11
52,51,1,0,0,0,126,2,38,0,55,85,35,2,1,6,24,1,459,6
53,102,3,0,3,4,129,13,60,1,56,52,25,0,0,20,48,1,556,14
54,81,5,2,2,2,83,4,44,2,41,47,9,1,0,24,47,6,440,12
55,85,2,2,1,2,105,10,43,0,61,55,24,2,0,25,50,7,518,23
56,96,1,1,2,9,119,13,38,5,43,58,22,0,1,13,45,0,504,8
57,79,1,0,4,5,111,4,39,3,67,64,34,5,0,5,39,3,489,7
58,67,2,1,4,7,100,5,27,2,67,71,17,0,1,16,35,2,449,9
59,74,1,0,0,0,106,7,32,3,57,50,19,0,3,24,45,3,450,7
60,87,0,0,2,3,107,11,37,3,40,47,17,0,1,13,34,2,433,11
61,121,1,2,4,7,124,6,27,5,45,52,15,2,0,20,32,3,509,16
62,83,2,0,2,0,98,3,26,3,36,57,18,0,1,15,34,4,416,14
84,47,2,0,0,1,87,6,36,6,54,37,30,0,1,4,20,0,359,12
85,58,0,2,1,5,89,9,54,4,54,45,15,1,0,24,57,2,451,7
86,52,2,0,1,1,103,5,43,5,70,54,14,1,3,16,34,1,429,5
87,59,0,0,0,3,108,7,40,0,65,68,17,1,0,10,54,0,464,4
88,73,1,4,1,1,76,9,41,6,36,37,9,1,1,24,50,1,407,17
89,66,5,0,3,2,88,13,47,2,32,42,16,2,1,16,32,2,400,10
90,85,0,1,1,1,107,7,32,1,47,66,14,3,0,17,31,2,448,13
91,59,3,2,1,1,97,13,56,3,35,51,11,0,1,31,47,3,455,16
92,81,0,0,3,2,119,8,43,0,22,42,16,2,1,27,70,1,480,14
93,63,0,2,2,3,98,7,63,0,50,36,17,1,3,28,38,4,470,25
94,56,2,2,2,2,63,11,37,3,29,30,5,0,1,13,29,3,306,6
95,61,1,2,0,2,137,12,55,0,35,36,19,1,4,33,52,4,488,9
96,61,0,3,2,6,85,3,28,2,49,44,20,0,0,17,45,2,403,8
97,90,2,2,2,3,83,6,47,1,41,41,15,1,0,14,39,3,431,10
98,63,2,1,4,5,127,0,28,0,50,65,27,1,0,3,41,2,459,12
99,111,4,1,1,7,131,3,45,1,79,53,29,3,2,16,47,4,585,15
100,79,1,0,0,4,89,8,29,1,38,47,14,1,0,17,44,0,398,2
101,69,0,0,2,7,124,3,37,5,62,48,16,1,2,15,47,1,470,5
102,85,4,1,5,12,148,4,40,2,39,57,18,0,1,22,60,2,535,7
103,72,3,0,3,5,120,4,27,4,54,48,21,2,0,7,45,0,441,7
104,72,0,0,1,8,158,16,40,3,65,59,25,0,1,21,44,6,554,10
105,86,0,3,2,11,131,4,35,1,41,50,12,1,0,9,39,2,471,12
106,96,4,2,3,9,153,13,38,4,29,38,13,3,1,10,49,2,500,10
107,98,2,1,7,4,122,8,34,3,37,49,18,1,1,42,42,2,512,15
108,132,1,4,6,1,134,3,14,1,27,51,7,1,0,12,29,3,462,14
109,97,1,4,3,4,130,9,52,1,37,52,20,1,1,39,69,2,564,14
110,81,3,3,3,7,5,138,35,4,64,32,10,2,0,17,42,2,484,14
111,104,2,1,2,5,135,8,11,1,32,76,9,1,0,15,33,2,462,12
112,108,0,0,2,3,140,13,28,2,40,41,16,1,0,21,40,5,495,7
113,97,2,1,5,3,134,5,53,0,39,73,22,0,1,16,46,1,527,14
114,70,5,2,0,4,142,10,42,0,79,54,25,0,0,20,43,6,556,27
115,130,0,0,3,3,138,1,37,1,56,65,14,2,1,13,30,1,536,14
116,94,0,2,4,2,136,9,33,1,30,41,17,1,1,13,42,1,468,18
117,109,4,0,2,5,167,8,39,3,50,68,27,1,3,3,22,3,556,11
118,46,0,1,1,4,63,2,26,0,16,58,13,1,0,12,14,0,285,10
119,108,2,2,1,4,146,6,43,9,32,69,26,1,0,12,33,0,531,12
120,91,0,0,1,6,114,5,42,3,49,50,9,1,1,11,41,5,464,11
121,121,7,0,5,6,130,8,23,7,52,56,20,4,1,10,32,1,514,11
122,84,0,1,2,4,142,9,21,4,51,57,14,2,1,11,32,5,464,4
123,97,4,1,0,7,170,10,33,10,48,84,21,2,1,7,39,1,591,16
124,135,0,2,1,1,115,7,24,3,25,39,10,0,2,18,26,6,431,10
125,125,3,1,6,2,84,6,29,4,24,58,11,2,0,18,51,2,455,23
126,85,1,0,0,3,144,9,29,0,46,59,6,2,1,12,37,2,462,5
127,152,6,2,10,10,176,4,26,7,55,75,10,2,0,11,47,3,615,10
128,119,1,0,5,0,125,9,24,3,34,56,14,1,1,11,26,4,471,13
129,123,2,3,4,4,146,6,27,1,57,82,7,1,1,16,38,3,544,7
130,147,4,2,2,3,120,7,25,7,29,68,15,3,0,15,39,1,529,7
131,138,5,1,1,5,177,7,25,2,49,97,19,2,2,6,37,0,597,10
132,151,1,2,6,6,168,10,40,6,54,116,30,3,3,17,51,2,720,10
133,151,6,2,1,2,180,11,33,10,36,104,31,1,3,6,43,1,666,16
134,138,4,4,5,4,137,6,18,3,52,66,13,1,0,8,36,1,536,17
135,104,1,1,3,2,144,4,9,1,47,86,13,2,0,7,33,1,481,7
136,128,4,0,1,14,161,6,11,4,53,81,12,3,0,1,22,2,531,10
137,140,2,0,4,1,122,4,16,2,45,82,18,2,1,7,23,5,507,10
138,43,4,1,1,2,93,4,36,4,88,82,27,1,2,3,14,4,438,6
139,33,5,1,3,5,106,10,43,13,93,51,24,2,0,8,27,2,461,9
140,64,1,0,0,4,105,7,48,3,37,48,22,1,2,8,37,6,425,16
141,53,1,1,3,0,66,2,41,1,54,43,12,1,3,14,36,2,379,16
142,50,4,0,0,4,79,9,30,3,87,58,18,3,0,3,21,14,403,9
143,64,0,0,0,6,109,9,49,4,76,60,14,0,1,14,18,5,478,16
144,62,5,0,2,4,116,8,49,3,101,38,23,0,2,13,27,4,501,12
145,50,2,2,1,4,127,11,46,6,76,59,26,0,0,9,35,1,492,12
146,60,3,0,1,2,95,10,50,1,65,63,22,0,1,20,34,3,458,8
147,65,3,0,3,3,117,12,67,4,47,55,18,3,0,16,27,4,497,17
148,53,0,1,5,2,81,14,50,3,49,33,23,0,0,22,46,3,435,21
149,64,3,1,0,0,95,9,41,4,39,39,13,0,1,21,55,0,414,9
150,60,2,0,1,1,94,8,55,1,40,52,20,1,0,10,39,2,420,11
151,65,1,1,2,1,104,9,62,3,67,72,19,0,1,13,25,3,479,11
152,50,1,0,0,7,104,9,45,7,80,72,22,1,1,6,21,4,476,21
153,59,2,1,1,3,118,2,51,0,68,51,24,2,0,19,34,1,469,10
154,54,1,0,1,8,131,18,77,1,77,58,22,2,2,4,38,6,532,10
